Empresa;Precio Actual;Precio Objetivo;PER Promedio;EPS Promedio;Diff
A;115,5500031;109,973808;30,75616892;4,206666667;-5%
AAON;104,6299973;70,48677943;54,7765542;1,513889;
AAPL;210,7899933;149,033924;28,94096752;6,058333333;-29%
ABBV;190,0700073;176,3336635;45,59714644;4,549656833;
ABT;131,9900055;116,134934;26,62912638;5,130823;-12%
ACGL;94,62999725;64,39979309;9,190998277;8,243333333;-32%
ACI;22,29999924;20,16548516;10,29989878;2,303333333;-10%
ACM;106,3300018;108,3949309;64,08213473;1,99;
ACN;322,0899963;280,5736756;31,76353706;10,392;
ADBE;395,9400024;472,5708102;50,88464754;10,926;
ADC;73,59999847;58,91171163;38,86424077;1,783333333;
ADI;223,1499939;159,5870191;36,83769148;5,096666667;
ADM;49,90000153;57,68956462;12,89465351;5,263427667;16%
ADP;309,3800049;186,5309598;28,2939902;7,756;-40%
ADSK;293,2000122;236,4689595;72,90870202;3,815714286;
AEE;95,41999817;73,71689937;20,7065095;4,188333333;-23%
AEP;100,9899979;77,15027549;18,20762888;4,985;-24%
AFG;123,4700012;129,8437317;10,31548215;14,80854983;5%
AFL;105,5699997;67,04047433;10,07508788;7,828333333;-36%
AGO;87,38999939;74,25450231;13,04373095;6,697335167;-15%
AIG;83,47000122;99,71582465;14,96812186;7,837505333;19%
AIZ;202,0700073;155,654495;16,45063051;11,13166667;-23%
AJG;331,2799988;185,6021038;40,92104702;5,336017333;
AKAM;78,79000092;88,33481769;28,8943415;3,596666667;12%
ALGM;24,82999992;35,58107313;58,13900838;0,72;
ALGN;189;289,7817811;49,57630769;6,876666667;
ALK;53,52999878;68,9902396;30,06110658;2,7;29%
ALLE;143,8000031;106,9449889;24,67012431;5,1;-26%
ALLY;36,40000153;45,38507464;11,20942032;4,763333333;25%
ALSN;103,2900009;39,90523231;9,825728784;4,778;-61%
AM;18,19000053;15,47388096;31,84472159;0,571666667;
AMAT;167,9900055;109,2766588;16,60634338;7,741666667;-35%
AMCR;9,340000153;9,327366989;17,93620943;0,6118;0%
AMD;108,1200027;139,8354908;114,5097509;1,436666667;
AME;179,3800049;135,8521837;30,71609837;5,203333333;-24%
AMG;183,8300018;153,8010538;9,946445236;18,19166667;-16%
AMGN;274,7600098;225,7063321;26,26477362;10,11;-18%
AMH;38,31000137;39,41288483;58,81788558;0,788333333;
AMKR;19,62999916;25,52606326;14,13207654;2,125;30%
AMP;515,7199707;333,18963;13,2078778;29,67833333;-35%
AMT;207,9199982;214,5231839;56,84239106;4,44;
AN;188,6499939;120,122622;7,196304633;19,6379585;-36%
ANET;92,31999969;54,48037412;44,20314331;1,45;
ANSS;345,4299927;296,1950418;59,06182289;5,9;
AON;353,5700073;303,8957878;35,10303939;10,185;
AOS;70,45999908;66,96161577;25,24382785;3,120698333;-5%
APA;17,70999908;35,10876461;8,241655262;5,011666667;98%
APD;276,2099915;236,8305771;22,421476;12,42666667;-14%
APH;84,45999908;43,95028678;31,36878852;1,648333333;
APTV;66,93000031;173,5350543;40,42750245;5,05;
ARE;74,23000336;177,6754128;83,7235904;2,496666667;
ARES;172,5700073;73,90482609;50,08459344;1,736;
ARW;121,75;119,1575996;10,09254221;13,89;-2%
ASH;52,79999924;122,8276165;17,8828717;8,080529833;133%
ATO;155,2299957;95,37703808;18,64957564;6,016666667;-39%
ATR;155,5200043;113,4815644;29,95685629;4,456666667;-27%
AVB;208,5899963;183,8158778;29,29609039;7,381666667;-12%
AVGO;221,5800018;90,00968216;42,08714371;2,516059167;
AVT;52,33000183;50,89595323;9,589620761;6,244;-3%
AVTR;13;25,56707436;33,92358385;0,886666667;
AVY;183,3399963;170,3120548;23,49795205;8,527003667;-7%
AWI;156,4299927;98,03813079;23,6898296;4,868712833;-37%
AWK;138,6399994;129,7191544;26,8444626;5,685;-6%
AXP;298,9200134;147,6507339;19,32651822;8,988;-51%
AXS;100,5400009;72,30882568;11,28987481;7,535;-28%
AXTA;32,70000076;28,5613967;25,48797207;1,318333333;-13%
AYI;271,3900146;161,6562975;18,05428891;10,534;-40%
AZEK;51,49000168;27,42279647;46,75668622;0,69;
AZO;3664,25;1816,643128;17,62080311;121,29;-50%
BAC;43,36000061;34,84487079;12,29204367;3,335;-20%
BAH;124,6699982;94,39128435;33,54941687;3,31;
BALL;53,22999954;107,9379184;21,08231096;6,023333333;103%
BBWI;33,43000031;40,34378909;12,05907912;3,935896;21%
BBY;73,37000275;81,38707473;14,31538868;6,688571429;11%
BC;52,43999863;78,02721982;13,11381846;7;49%
BDX;175,3399963;205,0919397;40,76901745;5,918333333;
BEN;21,69000053;24,48342086;14,33036047;2,01;13%
BFAM;122,9599991;133,4906698;144,611277;1,086;
BG;80,15000153;79,7174268;7,916894835;11,84621117;-1%
BIIB;124,4000015;203,8361578;19,90652279;12,04666667;64%
BJ;111,7099991;64,12926464;20,42240355;3,694285714;-43%
BK;87,09999847;52,86893027;13,85272639;4,49;-39%
BKNG;5194,990234;4021,013258;47,14339362;100,345;
BLD;312,1000061;260,3315729;18,89015864;16,21333333;-17%
BLDR;117,9899979;103,821026;11,37972517;10,73333333;-12%
BLK;958,0300293;757,6595696;22,92702461;38,87832;-21%
BOKF;98,76000214;86,37928274;12,22406001;8,313333333;-13%
BPOP;103,6100006;75,72050742;8,582172438;10,38;-27%
BR;237,0500031;141,5506706;32,0250386;5,2;
BRBR;65,13999939;33,42749074;31,54528853;1,246666667;
BRKR;40,25999832;72,51225505;50,67833783;1,683333333;
BRO;110,7600021;67,21196402;28,63231099;2,761666667;-39%
BRX;26,40999985;20,72076496;27,57621102;0,884;-22%
BSX;102,8700027;54,16812628;70,41680375;0,905;
BSY;47,72999954;48,94311985;92,87119517;0,62;
BURL;259,5299988;219,4873489;44,62271344;5,786748286;
BWA;32,63000107;33,21238753;16,45057829;2,375199;2%
BWXT;107,0899963;64,82951971;25,53683812;2,986666667;-39%
BX;149;148,1977041;37,73814721;4,62;
BXP;66,59999847;560,2061286;300,3342005;2,194442167;
BYD;74,77999878;57,47728505;12,47991425;5,418333333;-23%
C;74,91000366;57,68034906;9,096336896;7,460061667;-23%
CACC;499,0799866;543,7502004;17,36994483;36,82833333;9%
CACI;475,7900085;279,9510752;19,12626052;17,22;-41%
CAG;23,30999947;34,03188719;25,94223392;1,543333333;46%
CARR;73,44000244;63,54699833;20,27879959;3,686666667;-13%
CASY;436,7999878;217,6808583;23,6286447;10,83833333;-50%
CAT;342,5499878;239,5157195;16,71311978;16,86;-30%
CB;289,6499939;201,2416617;11,81585721;20,03704783;-31%
CBOE;221,1199951;124,733024;31,22228386;4,7;
CBRE;132,6900024;98,89077929;28,1019549;4,14;-25%
CBSH;65,62000275;51,19219952;16,28366857;3,6985595;-22%
CDNS;311,769989;196,1355972;69,74743417;3,308333333;
CDW;188,8200073;164,662328;24,81473774;7,806666667;-13%
CF;84,38999939;81,3906503;12,38728412;7,73;-4%
CFG;41,59000015;37,74539973;11,23263557;3,953333333;-9%
CFR;130,0200043;100,7768254;16,17917182;7,328;-22%
CGNX;31,62000084;46,46214969;51,89368916;1,053333333;
CHD;95,18000031;83,38631202;33,29991295;2,946;
CHE;569,1099854;455,7199314;29,42865771;18,21833333;-20%
CHH;126,5299988;117,0539651;24,24481465;5,68;-7%
CHRD;97,62999725;140,6168106;6,600101413;25,065;44%
CHRW;95,94999695;95,2179483;21,8648892;5,123333333;-1%
CHTR;402,519989;508,8964923;23,31937975;25,674;26%
CI;315,7399902;240,3812404;17,86695795;15,82818183;-24%
CIEN;79,01000214;59,16895866;45,20164909;1,54;
CIVI;29,70000076;51,29851164;7,18894463;8,395;73%
CL;89,13999939;74,06833673;30,59305548;2,848333333;-17%
CLH;228,5399933;133,4733861;25,49147939;6,16;-42%
CLX;138,0599976;187,7636925;78,38838247;2,818;
CMA;58,38999939;61,08078527;10,25347168;7,008333333;5%
CMCSA;34,72000122;41,94233701;14,85036927;3,322740667;21%
CME;270,4700012;184,7062878;25,94128711;8,376666667;-32%
CMG;50,75999832;38,6523814;57,97958674;0,7843;
CMI;330,5899963;232,012098;22,03385611;12,388;-30%
CMS;70,08000183;56,71487545;18,34913534;3,636323;-19%
CNA;48,93000031;37,59384933;11,56686939;3,8236844;-23%
CNC;62,86999893;82,9437819;24,05445848;4,056666667;32%
CNH;13,30000019;12,65066137;11,44856233;1,3;-5%
CNM;53,29000092;36,34110865;25,17070802;1,698571429;-32%
CNP;36,84999847;26,45945931;17,24585909;1,805;-28%
CNXC;55,65999985;97,92443774;17,27732766;6,668;76%
COF;199,9499969;146,4663424;9,639008614;17,87666667;-27%
COKE;1175,339966;826,0782665;21,58882156;45,01666667;-30%
COLB;25,62999916;25,78620109;14,79839374;2,05;1%
COLM;69,58999634;75,52189607;19,40647022;4,578333333;9%
COO;84,44000244;133,6445853;39,66915747;3,9635055;
COP;92,26999664;85,78330677;11,75328463;8,586666667;-7%
COR;278,3800049;145,2849803;21,54497978;7,933333333;-48%
COST;1016,150024;480,9317175;42,51593181;13,308;
CPAY;349,6700134;225,8103286;21,24140806;12,50666667;-35%
CPB;35,93999863;40,9225159;17,88415169;2,692;14%
CPRT;62,15999985;35,7985982;34,19894266;1,2315;
CPT;118,9499969;141,2529776;53,26281206;3,12;
CRH;98,73000336;56,91075302;15,37636693;4,354333333;-42%
CRI;35,86000061;64,0619018;11,75160238;6,413333333;79%
CRL;143,0800018;1637,529656;332,3471209;5,796666667;
CRM;288,8200073;742,6184722;297,3107212;2,938571429;
CROX;118,8499985;100,2341237;9,192347548;12,82833333;-16%
CRUS;105,8300018;87,87356237;24,77964085;4,172;-17%
CSCO;61,66999817;43,81220783;18,34298004;2,81;-29%
CSGP;75,37999725;76,78963832;134,5023588;0,671666667;
CSL;401,019989;226,5679425;24,22305712;11,004;-44%
CSX;30,30999947;29,19995216;18,86219277;1,821256167;-4%
CTAS;216,9900055;103,4220931;37,26111034;3,265416667;
CTRA;24,12999916;23,7439772;11,28650134;2,475;-2%
CTSH;81,80999756;65,97976986;18,0589202;4,298333333;-19%
CTVA;67,95999908;49,46749124;34,81378775;1,671666667;
CUBE;42,93000031;41,26776416;39,40771979;1,232;
CUZ;28,60000038;44,3835186;52,21590424;1;
